# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1382
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=0 d=0.158872 t=1382
ren wu 	人物	c=1 d=0.106992 t=1382
ren zheng 	认证	c=2 d=0.479938 t=1382
ri ju 	日剧	c=1 d=0.0238732 t=1382
ri yu 	日语	c=1 d=0.0243554 t=1382
rong qi 	容器	c=9 d=0.0569018 t=1382
rong ru 	融入	c=1 d=0.113042 t=1382
rong yi 	容易	c=1 d=0.00381048 t=1382
ru 	入	c=1 d=0.263158 t=1382
ru ci 	如此	c=1 d=0.00186406 t=1382
ru guo 	如果	c=4 d=0.695282 t=1382
ru he 	如何	c=4 d=0.233557 t=1382
sai 	赛	c=1 d=0.995012 t=1382
san zhong 	三种	c=1 d=0.00609675 t=1382
sha 	啥	c=1 d=0.0655462 t=1382
shan yu yu lai 	山雨欲来	c=1 d=0.157237 t=1382
shang liang 	商量	c=1 d=0.0023461 t=1382
shang mian 	上面	c=1 d=0.615697 t=1382
shang wei 	尚未	c=1 d=0.037068 t=1382
shao bu fen 	少部分	c=1 d=0.0042963 t=1382
shao wei 	稍微	c=1 d=0.535261 t=1382
she qu 	社区	c=1 d=0.053397 t=1382
she shi 	设施	c=1 d=0.0368832 t=1382
shen he 	审核	c=3 d=1.43062 t=1382
shen ke 	深刻	c=1 d=0.0246002 t=1382
shen me 	什么	c=6 d=1.56173 t=1382
shen qing 	申请	c=1 d=0.0220377 t=1382
sheng dong 	生动	c=1 d=0.10383 t=1382
sheng ji 	升级	c=2 d=0.0028746 t=1382
sheng xiao 	生效	c=0 d=0.1 t=1330
sheng yu 	胜于	c=0 d=0.012307 t=1382
shi 	是	c=13 d=1.85792 t=1382
shi chuan 	试穿	c=1 d=0.0216013 t=1382
shi fou 	是否	c=3 d=0.33818 t=1382
shi hao de 	是好的	c=1 d=1 t=1369
shi hou 	事后	c=1 d=0.0510474 t=1382
shi hou 	时候	c=2 d=0.348681 t=1382
shi jian 	事件	c=1 d=0.102797 t=1382
shi jian 	时间	c=1 d=0.0720785 t=1382
shi li 	示例	c=1 d=0.00752142 t=1382
shi pin 	视频	c=1 d=0.0721026 t=1382
shi qing 	事情	c=2 d=0.775044 t=1382
shi ri 	时日	c=1 d=0.00388746 t=1382
shi shi 	试试	c=1 d=0.264477 t=1382
shi wu 	十五	c=1 d=0.0992613 t=1382
shi ying 	适应	c=1 d=0.00192793 t=1382
shi yong 	使用	c=1 d=0.00307331 t=1382
shi zu 	十足	c=0 d=0.0621885 t=1382
shou dao 	收到	c=1 d=0.516851 t=1382
shou gong 	手工	c=1 d=0.97531 t=1382
shou xian 	首先	c=1 d=0.00149594 t=1382
shu 	竖	c=0 d=0.000208081 t=1382
shu ji 	书籍	c=1 d=0.00744658 t=1382
